steering_angle,speed,rpm,acceleration,throttle_position,engine_temperature,voltage,distance,latitude,longitude,heart_rate,current_weather,temperature,precipitation,accidents_onsite
20.7,0,674.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,678.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
0.0,0,670.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,671.0,0.0,13.33333333,90.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,670.0,0.0,13.33333333,90.0,12.7,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
20.7,0,1110.0,0.0,27.84313725,90.0,12.8,0.0,-0.328001641,-78.42681142,60,2,24.6,0.5,6
33.5,6,1724.0,1.18442883525163,32.54901961,90.0,12.8,0.0008772860000000327,-0.328001641,-78.42681142,59,2,24.6,0.5,6
32.7,13,1855.0,2.09366624240614,35.29411765,90.0,12.7,0.00328772300000002,-0.328000425,-78.42680178,59,2,24.6,0.5,6
2.2,20,2814.0,1.84322188697703,41.56862745,90.0,12.8,0.005072136000000005,-0.32799284,-78.42677185,59,2,24.6,0.5,6
2.7,23,3134.0,1.9814080676707,25.49019608,90.0,12.8,0.004929775000000025,-0.327980896,-78.42672768,63,2,24.6,0.5,6
-2.0,27,2261.0,1.11426090383407,37.64705882,89.0,12.7,0.007022050999999974,-0.32796673,-78.42666834,63,2,24.6,0.5,6
-2.5,31,2323.0,1.25911999499172,38.03921569,89.0,12.8,0.008084957000000004,-0.327949086,-78.42660137,63,2,24.6,0.5,6
8.2,34,2573.0,1.06249491383685,28.23529412,89.0,12.8,0.009418574000000013,-0.327930604,-78.42652274,63,2,24.6,0.5,6
8.2,35,2645.0,0.835415857984116,31.76470588,88.0,12.8,0.0029634170000000237,-0.327930604,-78.42652274,65,2,24.6,0.5,6
1.5,39,2921.0,0.981587499475341,36.8627451,88.0,12.8,0.020813097000000003,-0.32788136,-78.42634454,65,2,24.6,0.5,6
1.6,41,2038.0,0.441407104502081,29.41176471,88.0,12.8,0.010341266999999932,-0.327856634,-78.42624446,65,2,24.6,0.5,6
-6.2,43,2158.0,0.636173059735149,28.62745098,87.0,12.7,0.01152710400000001,-0.327827926,-78.4261417,65,2,24.6,0.5,6
-6.1,45,2251.0,0.650315041219829,19.60784314,87.0,12.8,0.012382595000000052,-0.327801355,-78.4260345,64,2,24.6,0.5,6
-8.9,46,2314.0,0.450088591387531,20.78431373,87.0,12.8,0.011878450999999957,-0.327780233,-78.42592168,64,2,24.6,0.5,6
-10.3,48,2403.0,0.420782051888301,20.0,87.0,12.8,0.013692091999999989,-0.327765187,-78.42580316,64,2,24.6,0.5,5
-18.8,49,2473.0,0.596456997717001,19.21568627,88.0,12.8,0.01289785600000004,-0.327754752,-78.42568045,65,2,24.6,0.5,5
-20.5,50,2526.0,0.435307309199757,17.25490196,88.0,12.8,0.014929248999999922,-0.327754752,-78.42568045,65,2,24.6,0.5,5
-22.2,51,2556.0,0.201809366271367,17.64705882,88.0,12.8,0.012158629000000087,-0.32775999,-78.42555237,65,2,24.6,0.5,6
-13.5,52,2599.0,0.253512580315891,17.64705882,88.0,12.8,0.014171569999999911,-0.32778346,-78.42542589,65,2,24.6,0.5,6
-11.4,53,2653.0,0.29902125439488,17.64705882,88.0,12.8,0.01811833400000007,-0.327824783,-78.42529974,65,2,24.6,0.5,6
-3.3,54,2682.0,0.309996937478255,16.8627451,88.0,12.8,0.010871175999999982,-0.327882031,-78.42517577,65,2,24.6,0.5,6
4.6,55,2762.0,0.390902608038093,17.25490196,88.0,12.8,0.015989653999999964,-0.327950804,-78.42505381,65,2,24.6,0.5,6
4.1,57,2839.0,0.418652534497743,17.25490196,88.0,12.8,0.015395934000000056,-0.328024356,-78.42493152,65,2,24.6,0.5,6
5.3,59,2909.0,0.630593585813925,17.25490196,88.0,12.9,0.015320495999999961,-0.328103397,-78.42481082,65,2,24.6,0.5,6
9.2,59,2956.0,0.41395148642569,19.60784314,88.0,12.8,0.016951310000000053,-0.328180427,-78.42468417,65,2,24.6,0.5,7
13.2,60,2971.0,0.214061578357874,19.21568627,88.0,12.8,0.01680288299999999,-0.328261103,-78.42455635,65,2,24.6,0.5,7
17.4,60,2980.0,0.218317791901018,18.82352941,88.0,12.8,0.01730577199999994,-0.328342156,-78.42442769,65,2,24.6,0.5,7
21.3,60,2999.0,0.0,18.82352941,88.0,12.8,0.017757688000000105,-0.328418389,-78.42429324,64,2,24.6,0.5,8
23.5,60,2996.0,0.0,18.82352941,88.0,12.8,0.005001706999999911,-0.328487917,-78.42415276,64,2,24.6,0.5,8
28.7,60,2961.0,0.0,18.82352941,87.0,12.8,0.02782558600000007,-0.328550069,-78.42400817,65,2,24.6,0.5,8
29.3,60,2971.0,0.0,18.82352941,87.0,12.8,0.016049119999999917,-0.328591643,-78.42385755,65,2,24.6,0.5,8
28.2,61,2995.0,0.210455838338331,18.82352941,87.0,12.8,0.01888392200000011,-0.328617459,-78.42370994,65,2,24.6,0.5,8
26.0,61,3043.0,0.204246698999573,18.82352941,87.0,12.8,0.01666989199999991,-0.328624668,-78.42339797,65,2,24.6,0.5,8
21.8,62,3083.0,0.214738300408884,18.82352941,87.0,12.8,0.017897953000000077,-0.328594409,-78.42324508,64,2,24.6,0.5,9
12.7,63,3126.0,0.20471985390012,19.21568627,87.0,12.8,0.01654943199999992,-0.328538418,-78.42307644,64,2,24.6,0.5,9
9.5,63,3156.0,0.210828621840707,19.21568627,87.0,12.8,0.017929572000000116,-0.328482301,-78.42291559,64,2,24.6,0.5,9
6.9,64,3176.0,0.205415518866372,19.21568627,87.0,12.8,0.017880737999999896,-0.328422328,-78.42275885,64,2,24.6,0.5,9
6.6,64,3171.0,0.211116401688137,19.21568627,87.0,12.8,0.017578996999999985,-0.328366756,-78.4226068,63,2,24.6,0.5,9
5.9,63,3122.0,-0.216340916523793,19.21568627,87.0,12.8,0.00505356400000001,-0.328366756,-78.4226068,63,2,24.6,0.5,9
-3.2,60,3015.0,-0.433901200661897,18.82352941,87.0,12.8,0.02720196499999994,-0.328249158,-78.42229759,63,2,24.6,0.5,9
-10.7,60,2979.0,-0.220256686790375,18.82352941,87.0,12.8,0.015769606999999963,-0.328199663,-78.42215192,63,2,24.6,0.5,11
-18.8,59,2950.0,-0.202964807615382,18.82352941,87.0,12.8,0.011744930000000098,-0.32815767,-78.42200146,63,2,24.6,0.5,10
-26.2,58,2919.0,-0.16703539730622,18.82352941,87.0,12.8,0.019882044999999904,-0.328134871,-78.42185168,63,2,24.6,0.5,12
-26.8,57,2868.0,-0.276966694660798,18.82352941,87.0,12.8,0.016049230000000136,-0.328132482,-78.42170374,63,2,24.6,0.5,12
-26.6,57,2916.0,-0.148584972117109,36.8627451,87.0,12.8,0.01835825499999988,-0.328132482,-78.42170374,63,2,24.6,0.5,12
-25.9,61,3048.0,1.04467166471021,44.70588235,87.0,12.8,0.016541129000000154,-0.32815197,-78.42155278,63,2,24.6,0.5,12
-20.1,63,3168.0,0.982794337469246,45.09803922,87.0,12.8,0.013385820999999964,-0.328199705,-78.42141171,63,2,24.6,0.5,12
-5.5,66,3282.0,1.00134055468098,45.49019608,87.0,12.8,0.018837714000000005,-0.32827137,-78.42127131,63,2,24.6,0.5,12
2.7,68,2856.0,0.802602621995217,40.78431373,87.0,12.8,0.020271259999999902,-0.328368517,-78.42113326,63,2,24.6,0.5,11
5.9,69,2684.0,0.573121736788111,41.17647059,88.0,12.8,0.0071251720000000685,-0.328475009,-78.42099706,64,2,24.6,0.5,11
5.2,73,2821.0,0.698421664816548,36.8627451,88.0,12.8,0.033785995999999985,-0.32857886,-78.4208575,64,2,24.6,0.5,11
5.2,73,2790.0,0.54193156932093,16.07843137,89.0,12.8,0.010325654999999934,-0.328689292,-78.42071442,64,2,24.6,0.5,11
4.1,72,2796.0,-0.116807180565371,18.82352941,89.0,12.8,0.026334537000000102,-0.328803998,-78.4205638,65,2,24.6,0.5,11
5.4,69,2689.0,-0.43987312457949,18.43137255,90.0,12.8,0.01983968699999994,-0.328917489,-78.42041242,65,2,24.6,0.5,11
4.9,68,2630.0,-0.414975537607034,18.43137255,90.0,12.8,0.01861136200000013,-0.32902855,-78.42026641,65,2,24.6,0.5,11
3.7,65,2533.0,-0.628161994736957,18.03921569,90.0,12.9,0.01851541099999987,-0.329134958,-78.42011922,65,2,24.6,0.5,11
9.3,64,2522.0,-0.744844685991617,30.58823529,90.0,12.8,0.019404640999999945,-0.32923399,-78.41997815,65,2,24.6,0.5,11
21.6,65,2511.0,0.0,44.70588235,90.0,12.8,0.01700426300000002,-0.329334657,-78.41984446,66,2,24.6,0.5,11
27.3,66,2550.0,0.614937077424464,40.39215686,90.0,12.8,0.02032215000000015,-0.329434569,-78.41971085,66,2,24.6,0.5,11
29.7,66,2550.0,0.198926482890902,33.7254902,89.0,12.8,0.018196125000000007,-0.329527063,-78.41957565,66,2,24.6,0.5,10
